,NR_TURNO,NM_MUNICIPIO,CD_CARGO_PERGUNTA,NM_VOTAVEL,QT_VOTOS
8640,1,TEJUÇUOCA,11,Nulo,356
8641,1,TEJUÇUOCA,11,HELOIDE ESTEVAM,5174
8642,1,TEJUÇUOCA,11,Branco,102
8643,1,TEJUÇUOCA,11,BRITINHO,7476
8709,1,JUCÁS,11,Nulo,479
8710,1,JUCÁS,11,DR ROBERTO,6556
8711,1,JUCÁS,11,Branco,166
8712,1,JUCÁS,11,EDSONRIVA,8553
8713,1,JUCÁS,11,SALES RIBEIRO,204
8746,1,CARIÚS,11,ANA MARIA,338
8747,1,CARIÚS,11,NATALIA FERREIRA,5479
8748,1,CARIÚS,11,Branco,193
8749,1,CARIÚS,11,Nulo,412
8750,1,CARIÚS,11,WILAMAR PALACIO,6250
8800,1,SABOEIRO,11,Nulo,381
8801,1,SABOEIRO,11,MARCONDES FERRAZ,3461
8802,1,SABOEIRO,11,GOTARDO,2608
8803,1,SABOEIRO,11,TONTONHO DO ZÉ DE LIMA,3236
8804,1,SABOEIRO,11,Branco,82
8805,1,SABOEIRO,11,JOSE FERNANDES,254
8852,1,MORRINHOS,11,JERÔNIMO BRANDÃO,6899
8853,1,MORRINHOS,11,Nulo,262
8854,1,MORRINHOS,11,Branco,128
8855,1,MORRINHOS,11,CARLOS BRUNO,6844
8856,1,MORRINHOS,11,RÉGIS CARVALHO,1072
8911,1,SANTANA DO ACARAÚ,11,MEU DEUS,10187
8912,1,SANTANA DO ACARAÚ,11,FABINHO,932
8913,1,SANTANA DO ACARAÚ,11,EDLUCIA,9178
8914,1,SANTANA DO ACARAÚ,11,Nulo,848
8915,1,SANTANA DO ACARAÚ,11,Branco,311
9006,1,MASSAPÊ,11,JAMELI OLIVEIRA,153
9007,1,MASSAPÊ,11,GERARDIM,291
9008,1,MASSAPÊ,11,JACQUES ALBUQUERQUE,8083
9009,1,MASSAPÊ,11,ALINE ALBUQUERQUE LORA,10132
9010,1,MASSAPÊ,11,Branco,384
9011,1,MASSAPÊ,11,Nulo,721
